Country,Deaths,Deaths /1M pop,New Deaths,Tests,EstimatedCases,ConfirmedCases,Confirmed CaseFatality Rate,Confirmed Cases /1M pop,Seasonal Flu Deaths1(CDC/WHO 2017)
Moldova,125,35.3,1.0,20447.0,,4121.0,0.030299999999999997,1162.2,
Malaysia,105,3.3,2.0,195833.0,,6298.0,0.0167,199.8,8412.0
Belarus,99,10.4,2.0,204239.0,,16705.0,0.0059,1761.1,179
Iraq,97,2.5,2.0,103262.0,,2296.0,0.042199999999999994,59.7,8113.0
Luxembourg,96,158.0,4.0,48118.0,,3824.0,0.025099999999999997,6292.3,91
Slovenia,96,46.4,2.0,55520.0,,1439.0,0.0667,696.1,320
Australia,95,3.8,2.0,633107.0,,6801.0,0.013999999999999999,272.1,2960.0
Nigeria,87,0.4,2.0,17566.0,,2558.0,0.034,13.1,43493.0
Afghanistan,85,2.3,13.0,11068.0,,2704.0,0.031400000000000004,72.7,7785.0
North Macedonia,84,40.3,2.0,17246.0,,1511.0,0.0556,725.4,83
Croatia,79,19.3,2.0,38084.0,,2096.0,0.0377,512.5,439
Bosnia and Herzegovina,77,23.2,5.0,33928.0,,1857.0,0.0415,558.7,471
Honduras,76,7.9,1.0,4669.0,,1010.0,0.07519999999999999,105.3,342
Bulgaria,73,10.4,1.0,47636.0,,1618.0,0.0451,230.3,1047.0
Bolivia,71,6.3,5.0,7651.0,,1470.0,0.0483,129.5,3159.0
Cuba,67,6.0,1.0,53545.0,,1649.0,0.0406,147.1,1349.0
Cameroon,64,2.5,,,,2077.0,0.0308,82.4,5942.0
Estonia,55,41.6,2.0,55206.0,,1700.0,0.032400000000000005,1287.0,139
Thailand,54,0.8,,178083.0,,2969.0,0.0182,42.8,24419.0
Lithuania,46,16.5,,141678.0,,1410.0,0.0326,505.5,335
Burkina Faso,45,2.3,1.0,,,662,0.068,33.5,4241.0
Tunisia,42,3.6,,24406.0,,1013.0,0.0415,87.6,1216.0
Sudan,41,1.0,,,,592,0.0693,14.0,10257.0
Kuwait,38,9.2,5.0,196397.0,,4983.0,0.0076,1204.4,
Niger,36,1.6,1.0,5309.0,,750,0.048,33.6,4824.0
Armenia,35,11.9,2.0,24177.0,,2386.0,0.0147,808.3,320
